;draw_pred;home_pred;away_pred;prediction;label_x;config.;folder;epoch;label_y
2576114;0.31979823112487793;0.35038962960243225;0.32981210947036743;1.0;1.0;205.0;0.0;99.0;Milan - Bologna, 2 - 1
2499872;0.31979894638061523;0.3503880202770233;0.32981303334236145;1.0;0.0;205.0;0.0;99.0;Liverpool - Everton, 1 - 1
2500995;0.3197981119155884;0.35038992762565613;0.3298119306564331;1.0;2.0;205.0;0.0;99.0;Troyes - Nice, 0 - 2
2500865;0.31979820132255554;0.3503897190093994;0.32981207966804504;1.0;1.0;205.0;0.0;99.0;Troyes - Amiens SC, 1 - 0
2576118;0.3197977542877197;0.3503907024860382;0.3298115134239197;1.0;1.0;205.0;0.0;99.0;Udinese - Benevento, 2 - 0
2500010;0.31979912519454956;0.3503875732421875;0.32981324195861816;1.0;1.0;205.0;0.0;99.0;Arsenal - Watford, 3 - 0
2499939;0.31979867815971375;0.35038870573043823;0.3298126757144928;1.0;1.0;205.0;0.0;99.0;AFC Bournemouth - Arsenal, 2 - 1
2499987;0.3197992444038391;0.3503872752189636;0.3298134207725525;1.0;1.0;205.0;0.0;99.0;Tottenham Hotspur - Arsenal, 1 - 0
2499940;0.3197997212409973;0.35038623213768005;0.32981398701667786;1.0;0.0;205.0;0.0;99.0;Chelsea - Leicester City, 0 - 0
2501049;0.31979817152023315;0.3503897786140442;0.32981204986572266;1.0;0.0;205.0;0.0;99.0;Guingamp - Olympique Marseille, 3 - 3
2576142;0.3197984993457794;0.3503890335559845;0.3298124670982361;1.0;2.0;205.0;0.0;99.0;Crotone - Napoli, 0 - 1
2576189;0.31979814171791077;0.35038986802101135;0.3298119902610779;1.0;0.0;205.0;0.0;99.0;Crotone - Atalanta, 1 - 1
2576263;0.3197985291481018;0.3503889739513397;0.32981249690055847;1.0;2.0;205.0;0.0;99.0;Roma - Fiorentina, 0 - 2
2576095;0.3197990655899048;0.3503877818584442;0.329813152551651;1.0;0.0;205.0;0.0;99.0;Lazio - Fiorentina, 1 - 1
2500976;0.3197976052761078;0.3503909707069397;0.32981133460998535;1.0;0.0;205.0;0.0;99.0;Amiens SC - Troyes, 1 - 1
2576311;0.319798082113266;0.3503899872303009;0.3298119008541107;1.0;1.0;205.0;0.0;99.0;Juventus - Bologna, 3 - 1
2500891;0.31979942321777344;0.35038700699806213;0.3298135995864868;1.0;1.0;205.0;0.0;99.0;Olympique Marseille - Strasbourg, 2 - 0
2565818;0.31979891657829285;0.35038816928863525;0.3298129737377167;1.0;2.0;205.0;0.0;99.0;Eibar - Real Madrid, 1 - 2
2565910;0.31979846954345703;0.3503890335559845;0.3298124372959137;1.0;1.0;205.0;0.0;99.0;Espanyol - M\u00e1laga, 4 - 1
2500022;0.31979823112487793;0.35038962960243225;0.32981210947036743;1.0;1.0;205.0;0.0;99.0;Leicester City - Arsenal, 3 - 1
2500844;0.31979894638061523;0.3503881096839905;0.3298129737377167;1.0;1.0;205.0;0.0;99.0;Strasbourg - PSG, 2 - 1
2576201;0.31979823112487793;0.350389689207077;0.32981207966804504;1.0;0.0;205.0;0.0;99.0;Atalanta - Fiorentina, 1 - 1
2516891;0.3197988271713257;0.3503882884979248;0.3298128545284271;1.0;2.0;205.0;0.0;99.0;Stuttgart - Bayern M\u00fcnchen, 0 - 1
2576161;0.31979790329933167;0.35039037466049194;0.329811692237854;1.0;2.0;205.0;0.0;99.0;Hellas Verona - Crotone, 0 - 3
2500838;0.31979915499687195;0.3503875732421875;0.32981327176094055;1.0;1.0;205.0;0.0;99.0;Lille - Toulouse, 1 - 0
2499859;0.31979888677597046;0.35038822889328003;0.3298129439353943;1.0;0.0;205.0;0.0;99.0;AFC Bournemouth - Southampton, 1 - 1
2500939;0.319798082113266;0.35038992762565613;0.3298119306564331;1.0;0.0;205.0;0.0;99.0;Lille - Olympique Lyonnais, 2 - 2
2499973;0.31979671120643616;0.350393146276474;0.3298102021217346;1.0;0.0;205.0;0.0;99.0;Crystal Palace - Newcastle United, 1 - 1
2517042;0.31979888677597046;0.35038819909095764;0.3298129439353943;1.0;1.0;205.0;0.0;99.0;Hamburger SV - Borussia M'gladbach, 2 - 1
2500929;0.3197978436946869;0.3503904938697815;0.32981160283088684;1.0;0.0;205.0;0.0;99.0;Guingamp - Caen, 0 - 0
2501059;0.3197989761829376;0.35038796067237854;0.32981306314468384;1.0;1.0;205.0;0.0;99.0;Olympique Marseille - Amiens SC, 2 - 1
2500095;0.31979870796203613;0.35038861632347107;0.3298127055168152;1.0;2.0;205.0;0.0;99.0;Southampton - Manchester City, 0 - 1
2565658;0.31979888677597046;0.35038822889328003;0.3298129141330719;1.0;2.0;205.0;0.0;99.0;Legan\u00e9s - Barcelona, 0 - 3
2517039;0.31979820132255554;0.3503897488117218;0.32981207966804504;1.0;1.0;205.0;0.0;99.0;Freiburg - Augsburg, 2 - 0
2500936;0.31979790329933167;0.35039037466049194;0.329811692237854;1.0;0.0;205.0;0.0;99.0;Amiens SC - Toulouse, 0 - 0
2565771;0.3197987377643585;0.3503885269165039;0.3298127353191376;1.0;1.0;205.0;0.0;99.0;Valencia - Levante, 3 - 1
2499883;0.3197987675666809;0.3503885269165039;0.32981279492378235;1.0;1.0;205.0;0.0;99.0;Crystal Palace - Watford, 2 - 1
2516937;0.3197987675666809;0.3503884971141815;0.32981276512145996;1.0;0.0;205.0;0.0;99.0;K\u00f6ln - Hannover 96, 1 - 1
2565669;0.31979843974113464;0.3503890931606293;0.3298124074935913;1.0;2.0;205.0;0.0;99.0;Levante - Atl\u00e9tico Madrid, 0 - 5
2516821;0.31979823112487793;0.350389689207077;0.32981210947036743;1.0;2.0;205.0;0.0;99.0;Hoffenheim - Borussia M'gladbach, 1 - 3
2565773;0.31979915499687195;0.3503876328468323;0.32981324195861816;1.0;0.0;205.0;0.0;99.0;Celta de Vigo - Espanyol, 2 - 2
2565857;0.3197985887527466;0.3503887355327606;0.32981258630752563;1.0;1.0;205.0;0.0;99.0;Deportivo Alav\u00e9s - Getafe, 2 - 0
2576134;0.31979843974113464;0.35038915276527405;0.3298123776912689;1.0;2.0;205.0;0.0;99.0;Milan - Atalanta, 0 - 2
2576105;0.31979990005493164;0.3503859341144562;0.32981419563293457;1.0;2.0;205.0;0.0;99.0;Napoli - Juventus, 0 - 1
2516998;0.3197987675666809;0.35038846731185913;0.32981279492378235;1.0;0.0;205.0;0.0;99.0;Hamburger SV - Schalke 04, 3 - 2
2499966;0.31979990005493164;0.3503858745098114;0.32981419563293457;1.0;1.0;205.0;0.0;99.0;Manchester City - West Bromwich Albion, 3 - 0
2500773;0.31979820132255554;0.3503897190093994;0.32981210947036743;1.0;1.0;205.0;0.0;99.0;Saint-\u00c9tienne - Metz, 3 - 1
2500899;0.3197990357875824;0.350387841463089;0.3298131227493286;1.0;1.0;205.0;0.0;99.0;Monaco - Metz, 3 - 1
2576088;0.3197975158691406;0.35039129853248596;0.3298112154006958;1.0;2.0;205.0;0.0;99.0;Udinese - Cagliari, 0 - 1
